Query,Classification,Intensity
Are there any general debate teams around campus?,Arts,1
"Hello, I'm new to campus and I'm looking to find a place where I can paint. Where should I go?",Arts,1
"I am interested in art and want to learn more about it, possibly pick it up as a hobby.",Arts,1
I am really looking to design and build new things,Arts,1
"I like drawing in my leisure time, is there a club where I can draw with others, just chilling?",Arts,1
I like to knit and crochet and want to hang out with other people while doing it.,Arts,1
I recently downloaded an editing software and want to learn how to get better at it,Arts,1
I recently wanted to get into breakdancing,Arts,1
I want to get out of my comfort zone by joining and learning about debate,Arts,1
I want to pick up painting as a hobby.,Arts,1
I want to start getting into Anime and learning more about it,Arts,1
"I would like to learn more about drawing, painting, and sculpting",Arts,1
"I'm a beginner artist, where can I learn to develop my skills?",Arts,1
"I'm big into rap music, are there any music appreciate groups on campus that love rap music?",Arts,1
"I'm interested in journalism but don't have a lot of time, I want to learn about writing and media on the side",Arts,1
I'm interested in practicing my dance skills and I don't have much expierience.,Arts,1
"Olivia Rodrigo just released her new album, are there any other people that are excited about this on campus?",Arts,1
I am an experienced dancer and want to learn new dance styles.,Arts,2
I am an experienced dancer and want to learn new dance types.,Arts,2
I am interested in learning more about figure drawing. I draw as a hobby.,Arts,2
"I enjoy sketching and painting in my free time, are there any casual art clubs where I can further this interest",Arts,2
I have start to learn dancing and would like to join a RSO for it.,Arts,2
"I like drawing in my free time, where can I find people to draw with and explore new art mediums?",Arts,2
I love working with Art! It's so fun,Arts,2
I love writing and literature and want to make connections with other young authors.,Arts,2
I recently downloaded an editing software and want to learn how to get better at it,Arts,2
"I was a journalist for my school newspaper and I still want to write, is there a paper I can write for",Arts,2
I was part of the newspaper club in highschool and want to continue to build on my jounalism skills.,Arts,2
I'm a novice writer and want to apply my skills to real storytelling and reporting,Arts,2
I'm looking to find a dance team to join because I really enjoy dancing. What groups of people around me can facilitate that?,Arts,2
"I'm very passionate about art, where can I find like-minded people",Arts,2
I've been dancing for a couple years and want to join a club but I have a heavy courseload.,Arts,2
I've been painting for about a year and want to get better at it.,Arts,2
I enjoy reading books and want to discuss them more with others.,Arts,3
I have played the saxophone for 7 years and would like to join a band.,Arts,3
I have worked as the editor in chief of my high school newspaper and would like to do similar activities.,Arts,3
"I love drawing, painting, and sculpting!",Arts,3
I love to make short films and am looking to direct a crew for making one,Arts,3
I love to watch Anime and read Manga and want to talk to others about it.,Arts,3
I was on the debate team in highschool and would want to continue that here,Arts,3
I'm a very skilled dancer looking to join a group of dancers for a large performance,Arts,3
I'm interested in literature and and have been seriously writing for four years,Arts,3
"I've been in competative dance all of high school and middle school, where can I find a competition dance team",Arts,3
Where can I go to get more experience in making news reports and connecting with professionals in the sphere,Arts,3
I am looking for a community of people who enjoy lifting,Athletics,1
I enjoy playing basketball with my friends in my free time,Athletics,1
"I have no experience in archery, but it looks very interesting and I want to learn more",Athletics,1
I just got in to playing spikeball and want to improve at the sport.,Athletics,1
"I like to casually play pool, where can I play with others?",Athletics,1
"I like to play baseball in my freetime, where can I find a low-intensity league that meets every week to play",Athletics,1
I want to find people on campus to play sports casually with.,Athletics,1
"I'm a big basketball fan, are there any events going on soon that relates to basketball?",Athletics,1
Are there some semi-competative sports leagues that I can join?,Athletics,2
I played tennis for five years and want to play while balancing class work,Athletics,2
I really enjoy playing football in my free time,Athletics,2
I work with badminton players as a coach in my free time,Athletics,2
I've been playing basketball for about a year and want to get better at it.,Athletics,2
I have been powerlifting for 3 years and would like to continue,Athletics,3
"I have lots of experience when it comes to football, I'm pretty passionate about it",Athletics,3
I have played varsity soccer and would like to find ways to continue to play.,Athletics,3
"I like more rigorous physical activity, especially involving exercise",Athletics,3
I participated on behalf of quite a few sports teams in high school,Athletics,3
I played soccer all throughout high school and want to join a school team.,Athletics,3
"I used to play soccer in highschool, is there a club soccer league that I can join",Athletics,3
"I've been playing baseball my whole life, what are some leagues that will provide me good competition?",Athletics,3
I am interested in learning more about business.,Business,1
I am thinking about pursuing an Accountancy major.,Business,1
I am thinking about pursuing an Advertising major.,Business,1
I have recently heard about quantitive finance and would like to learn more,Business,1
I just heard about consulting and I would like to learn more about it.,Business,1
I want to join a consulting group on campus but I have little experience,Business,1
I want to learn more about finance through a school club or event.,Business,1
I want to meet more students that are interested in building their own business.,Business,1
"I'd like to recieve some advice from a counselor on which classes I should take this semester, where do I go?",Business,1
"I'm a freshman that just opened a new bank account, are there any resources on campus that will teach me how to manage money?",Business,1
"I'm just coming into the business sphere, what are some good beginner clubs",Business,1
"I'm looking to figure out more information about my financial aid loans, where can I go to get help?",Business,1
"I've heard about consulting from a friend, wanted to learn more about it",Business,1
Recommend me a club that helps me start off on learning about how businesses work and function,Business,1
"Want to learn about impact investing, don't know where to start",Business,1
"I already have a foundation in finance, but I want to learn specifics, where should I go?",Business,2
I am interested in developing my professional skills in business but don't have a specific interest,Business,2
I have been in a business club for a year in high school and would like to find some consulting opportunities.,Business,2
I have done AP classes in economics and am interested in joining economics club on campus.,Business,2
I have started to invest through my brokerage account and would like to further my skills in this area.,Business,2
I'm a sophomore looking to expand my knowledge past the basics of business,Business,2
"I'm in an econ class and I need help with my homework, where can I go to understand the concepts being presented to me?",Business,2
I'm interesting in the way the economy works but I dont have much experience with economics,Business,2
"I'm looking to become a business consultant for my career, are there any places on campus where I can train my skills to fit this position?",Business,2
I'm majoring in business and I would like to join a community,Business,2
Just started in my accounting major and am curious about any groups that would help me with studying or internships,Business,2
I am an accounting major and would like to join some clubs related to my major.,Business,3
I have taken several accounting courses already and want to apply my skills.,Business,3
I participated in several business competitions previously and want to engage in similar activities.,Business,3
I'm a Junior looking to gain connections and important knowledge in consulting doing mock write-ups,Business,3
"I'm a senior looking for connections at top companies, what are some pretigious organizations?",Business,3
"Looking to find people who can help with my startup, making connections with potential investors",Business,3
Are there any clubs where I can learn more about mine and other cultures?,Culture,1
I am an african american computer science student new to the field and want to learn more,Culture,1
"I don't know many people who speak my first language her on campus, and want to meet those who do.",Culture,1
I want to be able to go to indian cultural events at school.,Culture,1
I want to become bilingual in spanish and would like to find clubs to help me improve my speaking.,Culture,1
"I want to learn French, but have no experience with it",Culture,1
I want to learn how to speak Chinese but I have no experience,Culture,1
I want to learn more about latin american culture and customs,Culture,1
I want to meet new friends and I am looking for a more relaxing environment,Culture,1
"I want to pick up Spanish, but don't know much of the language.",Culture,1
"I'm a black american looking to spend time with people of my color, what events support black herritage on campus?",Culture,1
I'm a mexican looking to find more hispanic people to connect with on campus,Culture,1
Was wondering if there are any Asian clubs on campus,Culture,1
"I have some experience with French, but I want to get better",Culture,2
"I have some experience with Spanish, but I want to get better",Culture,2
I like asian culture and want to get more involved and learn more,Culture,2
I love spanish culture and want to get involved with the community more,Culture,2
I took Spanish classes in highschool and want to continue learning it.,Culture,2
I want to practice a language outside of class.,Culture,2
I'm a bilangual student looking to learn more about the culture of my 2nd langage (english),Culture,2
I'm from China and I transferred to UIUC this semester. I'm looking to find events that resonate with my culture,Culture,2
I'm Hispanic and would like to be a part of a club of other people like me,Culture,2
I am African American and want to interact with the African American community on campus,Culture,3
I am Central American and want to interact with the Central American community on campus,Culture,3
I am Chinese and want to interact with the Chinese community on campus,Culture,3
I am Indian and want to interact with the Indian community on campus,Culture,3
I am Japanese and want to interact with the Japanese community on campus,Culture,3
I am Korean and want to interact with the Korean community on campus,Culture,3
I am Latino and want to interact with the Latino community on campus,Culture,3
I am native american and want to be more active in the on campus native american community,Culture,3
I am South American and want to interact with the South American community on campus,Culture,3
I am Taiwanese and want to interact with the Taiwanese community on campus,Culture,3
I am Vietnamese and want to interact with the Vietnamese community on campus,Culture,3
I'm heavily interested in Latin American culture and have had past expiereince reasearching its culture.,Culture,3
"I'm looking to practice spanish for my midterm next week, are there any groups on campus that can help me practice?",Culture,3
What organizations can enable me to teach others about my culture?,Culture,3
I am curious about student govenment and making an impact on campus,Government,1
I love being the board member of my high school club!,Government,1
I want to get involved in helping push for policy changes in the US,Government,1
Are there any political debate teams around campus?,Government,2
I love being the secretary of my high school club!,Government,2
"I was class president for three years in high school, what leadership positions can I can involved in",Government,2
I have done Model UN in high school and would like to join similar RSO's.,Government,3
I love being the president of my high school club!,Government,3
"I really want to be a politician, I love leading my team whenever I get the chance",Government,3
I was the president of a flew clubs back in high school,Government,3
"I'm interested in apply for a position dealting with student govenment, where should I go to learn more?",Government,3
"I'm looking to run for student body president eventually, where can I get involved quickest",Government,3
I've been involved in student government and debate for years and want to continue at university,Government,3
I want to develop professional skills to prepare for internships.,Professional,1
I want to find ways to connect with other engineers through fraternities.,Professional,1
I want to improve my public speaking especially in front of many people,Professional,1
I want to learn more about the internship process and how to get one,Professional,1
I would like to join a honors society on campus.,Professional,1
I'm looking forward to making connections with other business students through fraternities,Professional,1
"I'm looking to join a professional fraternity, what would you recommend?",Professional,1
What honors programs are available for all the different colleges at UIUC,Professional,1
I am an engineering major and wanted to develop myself professionally and socially,Professional,2
I have done well academically this semester and am interested in joining an honor society,Professional,2
"I'm looking to get my career together and find a job, are there any job fairs going on soon?",Professional,2
"I'm looking to meet other students that have a high GPA like me, where can I go?",Professional,2
I have a high GPA and have junior standing so I want to join an honors society,Professional,3
What special programs are available to honors students at UIUC,Professional,3
"I'm looking to explore my newfound spiritual beliefs, what communities should I check out?",Religion,1
What are my options for churches around campus?,Religion,1
Are there any clubs for Muslims who want to explore their faith and participate in community events?,Religion,2
I am a Christian and would like to find ways to connect with other Christians at school.,Religion,2
"I'm a christian looking to connect with other christians on campus, where should I go?",Religion,2
"I'm a Christian who has been involved with the Church since I was a child, I want to get heavily involved in a religious community",Religion,3
What organizations can help me go on mission trips?,Religion,3
Are there clubs that help me find places to volunteer every once and a while?,Service,1
I am interested in doing volunteer work.,Service,1
I am interested in giving back to the community.,Service,1
I want to learn more about tutoring opportunities on campus.,Service,1
"I'm failing my history class, where can I go to recieve help?",Service,1
I've never volunteered before but want to get involved with helping the community,Service,1
Where can I go to voluneer on campus?,Service,1
"Where can I help out around the community, around one to two times a week?",Service,1
I tutored math during highschool and want to continue tutoring on campus.,Service,2
I would like to take leadership and help other students with their coursework,Service,2
I'm passionate about social justice and want to find a club that advocates for equality and diversity.,Service,2
I've done a lot of volunteer work before and want to find more opportunities.,Service,2
"Trying to find a service orgization that I can really become a part of, go there regularly",Service,2
What organizations provide a good amount of volunteer opportunity with others?,Service,2
"I want to take a part-time volunteer position at a local senior center, where can I find more info?",Service,3
I am interested in joining a club about food.,Social,1
I am interested in learning how to make my own video game.,Social,1
I am interested in the greek life on campus.,Social,1
"I just got the new GTA6 game, are there any groups of people on campus that are also playing the game?",Social,1
"I love playing video games, where should I meet more people that like to do what I do?",Social,1
I play video games casually and want to find people who also enjoy them.,Social,1
I really want to join an e-sports team but I have not played a lot of games.,Social,1
I want to explore new cuisines.,Social,1
I want to meet a diverse set of people in a low-commitment type of fraternity.,Social,1
I'd like to learn more about nutrition and healthy diets.,Social,1
"I'm a huge gamer but I don't have anyone to play with, where can I go to meet other gamers?",Social,1
"I'm looking to drink a lot of alcohol, which frats around town are free entry?",Social,1
"I'm looking to try some new foods, I've generally only eaten American foods. Where should I go?",Social,1
"I'm really hungry, what's the closest place to eat from my dorm?",Social,1
What are the highest rated places to eat on campus?,Social,1
Where can I go to buy accessories for my PC?,Social,1
I don't have any specific interests but would like to get involved on campus,Social,2
I have been playing competitive videogames for a year or so and want to play with others,Social,2
I have experience using Unity and want to work on a greater project.,Social,2
I have some experience using Unreal Engine and want to further my game making skills.,Social,2
I love cooking and want to expand my skills.,Social,2
I love tasting new food and want to get involved with RSO's but have a heavy courseload,Social,2
I'm a professional eSports member and I'm looking to take some students under my wing and train them for the next big tournament. Where can i find people with interest in Valorant?,Social,2
"I'm looking to change the hardware inside of my PC for better FPS, are there any groups on campus that can help me with this?",Social,2
"I'm looking to rush and become a member of a frat, but I don't want anything too intensive",Social,2
I love food and want to surround myself with people with a similar interests.,Social,3
I want to enter an esports team.,Social,3
I want to rush and join a top frat.,Social,3
I'm very extroverted and am interested in joining a frat,Social,3
I am a pre-med student and want clubs that can help me get experience for my major,STEM,1
"I am curious about blockchain, I wanted to learn more about this",STEM,1
I am interested in learning more about machine learning.,STEM,1
I am interested in learning more about the field of medicine.,STEM,1
I am thinking about pursuing an Astronomy major.,STEM,1
"I barely know how to code, where can I learn?",STEM,1
I don't have much coding experience and would like to learn.,STEM,1
I have no experience in astronomy but would like to learn about it through an astronomy club or event.,STEM,1
I have recently gained interest in medicine and would like to find opportunities to learn more about it.,STEM,1
"I just started learning about robotics, and I would really like a club that gets me some hands-one expereince",STEM,1
I recently started learning about artifical intelligence and want to learn more about it.,STEM,1
"I want to learn more about working in Blockchain, I love computer science!",STEM,1
I want to learn more about working with cryptocurrency,STEM,1
I wanted to work on getting better at working on robotics,STEM,1
"I'd like to connect with other engineers socially and professionally, where can I do that",STEM,1
I'm an incoming freshman and I want to create rockets,STEM,1
"I'm just starting to learn about the blockchain, where can I learn more on how to invest?",STEM,1
I'm looking to learn more about the medical field,STEM,1
"I'm new to hands-on experience for building things, what options are there for me",STEM,1
I'm new to medicine and want to learn about all the different sectors,STEM,1
"I'm really sick, where can I go on campus to get some Nyquil",STEM,1
"I've barely had any experience coding, where can I learn?",STEM,1
"I've heard about blockchain from a friend, wanted to learn more about it",STEM,1
Learned some things about astronomy and I want to explore more,STEM,1
What does my sign mean? Are there people on campus that focus on artonomy signs?,STEM,1
I am interested in learning more about the field of medicine. I've had taken a related internship.,STEM,2
I have a vested interest in artifical intelligence,STEM,2
I have experience in computer science from high school but want to get into Machine Learning,STEM,2
I have experience in lots of engineering disciplines,STEM,2
I have some background knowledge of crypto and I want to get more involved,STEM,2
"I have some Python experience, but would like to learn more about machine learning with Python.",STEM,2
I know some knowledge about medicine but I want to attend more speaches about it,STEM,2
"I love working with computers, they are so interesting",STEM,2
I was part of the robotics club in highschool and want to continue to build on those skills.,STEM,2
I was the mechanical captain of my highschool's robotics team and want to partake in similar activites,STEM,2
I worked on a lot of robotics projects during high school,STEM,2
I'm a sophmore in computer engineering looking to apply my software skills,STEM,2
I'm a sophmore in computer science looking to get involved in machine learning projects,STEM,2
"I'm a sophmore looking to use what I've used in ECE to build some robots, what clubs should I join?",STEM,2
"I'm very invested in learning more about machine learning, where can I go to learn more?",STEM,2
I've been coding for a couple years and want to join a club but I have a heavy courseload.,STEM,2
I've been getting in to stargazing and want to have more access to equipment,STEM,2
"I've got some experience through my materials and physics classes, where can I apply it?",STEM,2
"Machine learning is a bit complicated for me to understand, are there any resources on campus that I can use to help",STEM,2
"I already have experience building smaller robots, what teams do robot competitions?",STEM,3
I have done 4 years of robotics in high school and would like to continue in college.,STEM,3
I have studied medicine throughout high school and want to get involved in a medicine club at school.,STEM,3
"I really want to learn more about robotics, I have lots of past experience",STEM,3
"I recently took a quantumn computational class, where can I get involved in research?",STEM,3
I was president of the astronomy club at my highschool and would like to do similar activities.,STEM,3
I work with crypotcurrency a lot and login credentials,STEM,3
"I'm a freshman that was a part of my robotics team in highschool, where can I go on campus to get involved with UIUC's robots program?",STEM,3
I'm a very experience transfer student looking to develop software in a meaningful way. Are there any groups on campus that can facilitate this?,STEM,3
"I'm looking to invest into cryptocurrency, are there any groups around here that are experienced in the field?",STEM,3
"I've learned about a lot of medicine thoery, now I'm looking to apply myself and practice the thoery. Where can I go?",STEM,3
I've worked at a hospital before and I would like to volunteer at a local hospital,STEM,3
"Looking to join a running club on campus, any recommendations?",Athletics,1
"Interested in joining a yoga class with fellow students, where can I find one?",Athletics,1
"Seeking a group to play ultimate frisbee with regularly, any suggestions?",Athletics,1
