Query,Classification,Intensity
"I am interested in art and want to learn more about it, possibly pick it up as a hobby.",Arts,1
"I like drawing in my leisure time, is there a club where I can draw with others, just chilling?",Arts,1
I recently downloaded an editing software and want to learn how to get better at it,Arts,1
I recently wanted to get into breakdancing,Arts,1
I want to get out of my comfort zone by joining and learning about acting,Arts,1
"I want to explore painting as a new hobby, are there any beginner-friendly workshops?",Arts,1
Is there a photography club where I can casually join and learn?,Arts,1
"I'm interested in learning guitar, but at a relaxed pace, any suggestions?",Arts,1
"Looking for a group that meets to watch and discuss films, any recommendations?",Arts,1
"I'd like to dabble in pottery, are there any low-commitment classes available?",Arts,1
Are there any knitting or crochet circles for beginners?,Arts,1
"I want to try my hand at creative writing, is there a casual writing group I could join?",Arts,1
Do you know of any clubs that offer casual singing or karaoke sessions?,Arts,1
"I'd love to learn about digital art, are there any easy-going communities for that?",Arts,1
Is there a theater group that allows newcomers to participate without much experience?,Arts,1
Can you recommend a place where I can learn about sculpting at my own pace?,Arts,1
"Iâ€™m curious about learning calligraphy, are there any beginner workshops?",Arts,1
Are there any clubs that offer a relaxed introduction to dance?,Arts,1
"Looking to join a casual book club, any suggestions?",Arts,1
"I want to get into graphic design, are there any beginner-friendly groups or classes?",Arts,1
Is there a casual club for people who enjoy playing and learning about musical instruments?,Arts,1
Are there any photography walks or meetups for novices?,Arts,1
"Iâ€™d like to try my hand at cooking, are there any low-commitment culinary classes?",Arts,1
"Iâ€™m interested in learning about filmmaking, but at a very basic level, any recommendations?",Arts,1
Do you know of any clubs that meet to discuss and appreciate poetry?,Arts,1
I enjoy playing basketball with my friends in my free time,Athletics,1
"I have no experience in archery, but it looks very interesting and I want to learn more",Athletics,1
I just got into playing spikeball and want to improve at the sport.,Athletics,1
I want to find people on campus to play sports casually with.,Athletics,1
"I like to casually play pool, where can I play with others?",Athletics,1
"I enjoy playing volleyball for fun, are there any casual groups I can join?",Athletics,1
Is there a beginner's club for learning how to play tennis?,Athletics,1
"I've always wanted to try ultimate frisbee, are there any low-commitment groups?",Athletics,1
"I'm interested in learning badminton, any casual clubs available?",Athletics,1
Are there any groups that play soccer just for fun?,Athletics,1
"Looking for people to play casual touch football with, any suggestions?",Athletics,1
"I like to swim in my free time, are there any recreational swim clubs?",Athletics,1
"I want to try out rock climbing, are there any beginner-friendly clubs?",Athletics,1
"I just got a skateboard, any groups for casual skateboarding meetups?",Athletics,1
Is there a club for people who want to play golf casually?,Athletics,1
"I enjoy casual jogging, are there any running groups for beginners?",Athletics,1
"I'm new to yoga, any relaxed yoga classes on campus?",Athletics,1
"I like riding my bike around, any casual cycling groups?",Athletics,1
"I've been wanting to try out ping pong, are there any clubs for newbies?",Athletics,1
Are there any relaxed groups for learning how to surf?,Athletics,1
"I've taken an interest in hiking, are there any beginner hiking groups?",Athletics,1
"I want to try martial arts without a big commitment, any suggestions?",Athletics,1
Are there any groups that play casual softball games?,Athletics,1
"I enjoy casual bowling, are there any bowling leagues for fun?",Athletics,1
"I'm curious about fencing, is there a club for beginners?",Athletics,1
"Want to learn about impact investing, don't know where to start",Business,1
"I'm curious about the stock market and investing, where can I find beginner-friendly resources?",Business,1
"I want to learn more about supply chain management, any resources or clubs focused on that?",Business,1
"I'm a student athlete interested in sports management, where can I find resources or clubs related to this field?",Business,1
"I'm just coming into the business sphere, what are some good beginner clubs",Business,1
"I want to explore entrepreneurship, are there any beginner-friendly clubs?",Business,1
Is there a club for students who want to learn about business ethics?,Business,1
"I'm new to marketing, where can I find some basic resources or groups?",Business,1
"Looking for clubs that introduce the basics of finance, any suggestions?",Business,1
"I'm interested in learning about project management, any beginner clubs?",Business,1
Are there any clubs that focus on teaching the basics of accounting?,Business,1
"I want to know more about human resources management, any beginner groups?",Business,1
Is there a club for students interested in learning about e-commerce?,Business,1
"I've heard about digital marketing and want to learn more, any starter clubs?",Business,1
Are there any beginner-friendly groups focused on international business?,Business,1
"Looking to understand business analytics, any clubs for beginners?",Business,1
"I want to get involved in corporate social responsibility, any beginner clubs?",Business,1
Is there a group for students who want to learn about venture capital?,Business,1
"I'm interested in learning the basics of real estate, any clubs for that?",Business,1
Where can I find beginner resources or clubs for business strategy?,Business,1
"I want to learn about consulting, are there any beginner-focused groups?",Business,1
Are there any clubs that focus on the fundamentals of leadership in business?,Business,1
"I'm curious about startup culture, where can I find a club for beginners?",Business,1
"Looking for resources on business law, any beginner clubs on campus?",Business,1
"I want to get a basic understanding of sales, any clubs for beginners?",Business,1
I'm curious about different religious holidays - are there any interfaith groups on campus that celebrate them?,Culture,1
I recently saw a friend wearing a cool outfit from another culture and would love to learn more about their cultural dress.,Culture,1
I'm eager to learn about indigenous cultures and connect with students from diverse backgrounds.,Culture,1
I'm interested in learning a traditional dance from another culture - are there any cultural dance workshops offered on campus?,Culture,1
“I’m interested in exploring Japanese tea ceremonies. Are there any cultural clubs that focus on Japanese traditions?,Culture,1
"I want to learn about different world cuisines, are there any beginner-friendly clubs?",Culture,1
Is there a club for students who want to explore various cultural traditions?,Culture,1
"I'm new to studying different religions, where can I find some basic resources or groups?",Culture,1
"Looking for clubs that introduce the basics of different music genres, any suggestions?",Culture,1
"I'm interested in learning about international festivals, any beginner clubs?",Culture,1
Are there any clubs that focus on teaching the basics of various dance styles?,Culture,1
"I want to know more about global fashion trends, any beginner groups?",Culture,1
Is there a club for students interested in learning about different languages?,Culture,1
"I've heard about folk art and want to learn more, any starter clubs?",Culture,1
Are there any beginner-friendly groups focused on cultural storytelling?,Culture,1
"Looking to understand different cultural histories, any clubs for beginners?",Culture,1
"I want to get involved in cultural exchange programs, any beginner clubs?",Culture,1
Is there a group for students who want to learn about traditional crafts?,Culture,1
"I'm interested in learning the basics of regional cuisines, any clubs for that?",Culture,1
Where can I find beginner resources or clubs for cultural anthropology?,Culture,1
"I want to learn about world cinema, are there any beginner-focused groups?",Culture,1
Are there any clubs that focus on the fundamentals of cultural etiquette?,Culture,1
"I'm curious about indigenous cultures, where can I find a club for beginners?",Culture,1
"Looking for resources on mythology, any beginner clubs on campus?",Culture,1
"I want to get a basic understanding of cultural geography, any clubs for beginners?",Culture,1
Curious about how to propose a change to a campus policy,Government,1
Interested in learning more about how to write effective legislation - are there any workshops offered?,Government,1
"Never been involved in student politics before, where can I start?",Government,1
What low-intensity positions are there in student govenment or school board?,Government,1
"New to politics and student body, what different bodies governments are there?",Government,1
"Want to learn how to participate in campus elections, any beginner tips?",Government,1
Is there a workshop for understanding how student councils work?,Government,1
"Interested in learning the basics of public speaking for government roles, any suggestions?",Government,1
"I'm new to student government, where can I find information on getting started?",Government,1
Are there any clubs that explain the basics of parliamentary procedures?,Government,1
"Looking for a low-commitment way to get involved in student government, any ideas?",Government,1
"I want to know more about the role of a student senator, any introductory resources?",Government,1
Is there a club for learning about how campus budgeting works?,Government,1
"I'm curious about how to start a petition on campus, where can I find guidance?",Government,1
Are there any groups that help students understand university governance structures?,Government,1
"Looking to attend casual meetings on policy discussions, any suggestions?",Government,1
"I'd like to learn about how to run for a student body position, any beginner workshops?",Government,1
"Interested in understanding the basics of advocacy, any clubs focused on that?",Government,1
Are there any clubs that teach about the legislative process at the campus level?,Government,1
"I'm new to political debates, are there any groups that offer practice sessions?",Government,1
"Want to know more about the responsibilities of a student body president, any resources?",Government,1
Are there beginner-friendly clubs for learning about campus policy-making?,Government,1
"I'm curious about lobbying on campus, any introductory workshops available?",Government,1
Is there a student government club that welcomes newcomers?,Government,1
"I want to understand more about election campaigns on campus, where can I start?",Government,1
Interested in learning about different graduate school programs - are there any information sessions happening soon?,Professional,1
